E	T
1	4.0
2	4.9
3	4.833333333333333
4	4.75
5	4.92
6	4.6
7	4.6
8	5.075
9	5.011111111111111
10	5.13
11	5.127272727272727
12	5.041666666666667
13	5.1461538461538465
14	5.257142857142857
15	5.633333333333334
16	5.65
17	5.6647058823529415
18	5.677777777777778
19	5.6947368421052635
20	6.02
21	6.076190476190476
22	6.122727272727273
23	6.078260869565217
24	6.15
25	6.244
26	6.780769230769231
27	7.455555555555556
28	7.839285714285714
29	8.420689655172414
30	8.953333333333333
31	9.364516129032259
32	10.359375
33	11.936363636363636
34	12.885294117647058
35	14.74
36	16.31111111111111
37	18.454054054054055
38	20.2
39	22.182051282051283
40	23.4925
41	24.87317073170732
42	26.197619047619046
43	27.804651162790698
44	29.222727272727273
45	30.26
46	31.776086956521738
47	33.02127659574468
48	34.416666666666664
49	35.755102040816325
50	37.04
51	38.115686274509805
52	39.30576923076923
53	40.450943396226414
54	41.553703703703704
55	42.61636363636364
56	43.64107142857143
57	44.62982456140351
58	45.58448275862069
59	46.50677966101695
60	47.39833333333333
61	48.260655737704916
62	49.09516129032258
63	49.903174603174605
64	50.6859375
65	51.44461538461538
66	52.18030303030303
67	52.89402985074627
68	53.58676470588235
69	54.25942028985507
70	54.91285714285714
71	55.54788732394366
72	56.165277777777774
73	56.76575342465753
74	57.35
75	57.91866666666667
76	58.47236842105263
77	59.01168831168831
78	59.537179487179486
79	60.049367088607596
80	60.54875
81	61.0358024691358
82	61.510975609756095
83	61.97469879518072
84	62.42738095238095
85	62.86941176470588
86	63.301162790697674
87	63.722988505747125
88	64.13522727272728
89	64.53820224719101
90	64.93222222222222
91	65.31758241758241
92	65.6945652173913
93	66.06344086021505
94	66.42446808510638
95	66.7778947368421
96	67.12395833333333
97	67.46288659793814
98	67.79489795918367
99	68.12020202020202
100	68.439
101	68.75148514851485
102	69.0578431372549
103	69.35825242718447
104	69.65288461538462
105	69.87809523809524
106	70.1622641509434
107	70.44112149532711
108	70.71481481481482
109	70.98348623853211
110	71.24727272727273
111	71.5063063063063
112	71.76071428571429
113	72.01061946902655
114	72.25614035087719
115	72.49739130434783
116	72.73448275862069
117	72.96752136752137
118	73.19661016949152
119	73.4218487394958
120	73.64333333333333
121	73.86115702479339
122	74.07540983606557
123	74.28617886178861
124	74.49354838709678
125	74.6976
126	74.8984126984127
127	75.09606299212598
128	75.290625
129	75.48217054263566
130	75.67076923076922
131	75.85648854961832
132	76.03939393939395
133	76.21954887218045
134	76.39701492537313
135	76.57185185185185
136	76.74411764705883
137	76.91386861313869
138	77.08115942028985
139	77.24604316546763
140	77.40857142857143
141	77.56879432624113
142	77.72676056338028
143	77.88251748251749
