E	V
1	-4.67486342485814
2	-4.246038221813748
3	-4.239240209313357
4	-4.781949958122177
5	-3.929811562249847
6	-4.303240127617469
7	-4.217060034089574
8	-3.7309669369214555
9	-4.42331904393138
10	-3.5182428528434
11	-4.243581382755911
12	-3.7636466991155224
13	-1.7194925939680274
14	-5.393099932702217
15	-10.44048216568186
16	-15.852193114160311
17	-23.219878610605598
18	-17.140777493398033
19	-16.85118829341496
20	-16.738529495448283
21	-11.271363332998192
22	-12.994507152273417
23	-14.099324355168644
24	-15.300104167608584
25	-12.560609784438801
26	-15.195654226711465
27	-14.905145539609544
28	-13.238861737790899
29	-13.262671468287332
30	-11.994718638960418
31	-12.982942996055836
32	-11.547835332004848
33	-11.374961368982861
34	-11.066092039418628
35	-10.26121732324759
36	-10.168689547952614
37	-10.041316359474429
38	-9.865220865293807
39	-9.71937515251343
40	-9.436920857563212
41	-9.30417392568986
42	-9.16826733956137
43	-9.054602105436768
44	-9.111050551829573
45	-8.943152749922255
46	-9.097454157506862
47	-8.878762633845238
48	-8.990252557467311
49	-9.093595841220047
50	-9.117564592201916
51	-9.096427630754338
52	-9.27488854294438
53	-9.17170759758206
54	-9.220843802411151
55	-9.164494367436005
56	-8.907580337508543
57	-8.799902917196636
58	-8.832715284802143
59	-8.946257005005762
60	-8.642074009691983
61	-9.045571231627193
62	-8.737324623945105
63	-8.762634187572996
64	-8.946257005005762
65	-8.714134511741428
66	-8.729272101861989
67	-8.791775889130218
68	-9.021649847250522
69	-8.99321596971643
70	-9.086992975765861
71	-9.127936172921475
72	-9.112966315148393
73	-9.016518674203084
74	-9.104494367436006
75	-9.078471961706486
76	-8.798989337886464
77	-8.859896912694326
78	-8.713070484847735
79	-8.693638135054133
80	-8.713324630142807
81	-8.761496945214557
82	-8.888985349442013
83	-8.525460304417988
84	-8.573057233041535
85	-8.40771520166799
86	-8.876224476712645
87	-8.547225074153133
88	-8.543019491002347
89	-8.568505228351402
90	-8.642074009691983
91	-8.738104996137775
92	-8.8
93	-8.722574584994234
94	-8.587169079438775
95	-8.777390454831526
96	-8.796175060822295
97	-8.773708535208362
98	-8.638909631319937
99	-8.601290994623838
100	-8.694122564396995
101	-8.846404798641295
102	-8.527333548525954
103	-8.595889452353761
104	-8.80460414330431
105	-8.655054113821777
106	-8.577304470586832
107	-8.59782813781971
108	-8.539818196841996
109	-8.685095748582038
110	-8.755219685465148
111	-8.453323727225287
112	-8.579256426818626
113	-8.585703677559355
114	-8.755011111165983
115	-8.667934742926338
116	-8.588228698867137
117	-8.533084604815567
118	-8.816207192693632
119	-8.647240182715544
120	-8.81742609535316
121	-8.848777390836789
122	-8.904906421795124
123	-8.83397459621556
124	-8.804500128139424
125	-8.873356322112434
126	-8.790240412402945
127	-8.859462520905256
128	-8.728964447013508
129	-8.58321575278255
130	-8.458039179820457
131	-8.571698571166976
132	-8.84
133	-8.517896677178461
134	-8.435674462614033
135	-8.538595856041429
136	-8.427590266147911
137	-8.527207793864216
138	-8.526144254785025
139	-8.83695308630638
140	-8.382545117637198
141	-8.751595925421531
142	-8.689703427099781
143	-8.664877784416287
144	-8.83126156153805
145	-8.77770883002745
146	-8.52831866676992
147	-8.568505228351402
148	-8.535054113821777
149	-8.701009641915961
150	-8.782001821495136
151	-8.724094244712942
152	-8.760769515458675
153	-8.499464413773484
154	-8.50842454147278
155	-8.725981419064718
156	-8.45521968546515
157	-8.739020078551983
158	-8.594399720670426
159	-8.728452387214748
160	-8.629402368023902
161	-8.510607649176412
162	-8.454159509607221
163	-8.596790313432082
164	-8.716801084011408
165	-8.661916848035315
166	-8.458206502834225
167	-8.70501256289338
168	-8.64879529076979
169	-8.741846314989825
170	-8.93192902141856
171	-8.853137276099629
172	-9.000408248299324
173	-8.845599625468246
174	-8.883541688665963
175	-8.810050506338834
176	-8.95626965428241
177	-8.580196097281442
178	-8.699411934226156
179	-8.763854316348635
180	-8.719200319744257
181	-8.715953322342372
182	-8.645370016552578
183	-8.651087470692396
184	-8.658382198705253
185	-8.702282987733769
186	-8.685095748582038
187	-8.659138251125484
188	-8.60572893782527
189	-8.64
190	-8.63023150629406
191	-8.81305466549063
192	-8.536411280822398
193	-8.73520336907128
194	-8.590946349359058
195	-8.675879348517723
196	-8.483394713593382
197	-8.710231506294058
198	-8.676615024601038
199	-8.586244810214442
200	-8.83380962103094
201	-8.472078101061026
202	-8.374603379080499
203	-8.57143490657243
204	-8.69584054212077
205	-8.435674462614033
206	-8.520608856828973
207	-8.397052740303163
208	-8.745152593091387
209	-8.538595856041429
210	-8.6885122951396
211	-8.808492359043644
212	-8.543019491002347
213	-8.626777447656186
214	-8.623471311884257
215	-8.663745229017563
216	-8.604806137788799
217	-8.282127766689404
218	-8.732854450828743
219	-8.46774798016121
220	-8.447039276938517
