E	V
1	-8.75182845286832
2	-11.301666203960728
3	-10.301785145224379
4	-10.291924966748061
5	-12.676179070414207
6	-7.44899959967968
7	-11.60555127546399
8	-14.153234063627348
9	-10.568595903550973
10	-12.660601043544625
11	-11.65462698654266
12	-8.274772708486752
13	-13.47213595499958
14	-16.521679604916493
15	-16.569924622639718
16	-12.366533331199932
17	-11.707345007480164
18	-9.971231517720799
19	-10.493171219946131
20	-20.572684879784525
21	-11.399999999999999
22	-12.222782990761708
23	-10.125747767665558
24	-12.794996871087637
25	-13.600000000000001
26	-27.750311199301038
27	-27.10640850132952
28	-23.986907878334126
29	-24.48396810574595
30	-27.891173196955798
31	-23.64603739331958
32	-31.617842929904125
33	-45.5701586799882
34	-30.96516463030514
35	-47.85432140086422
36	-39.0
37	-34.360632371552
38	-34.484287972802406
39	-35.943500610861484
40	-26.428113354878697
41	-34.56033472217369
42	-26.32460525222275
43	-27.403635162326804
44	-26.028001396647873
45	-27.402666192761075
46	-25.32709412050371
47	-22.949736834815166
48	-23.53019433961698
49	-19.72488094968134
50	-18.554065922853802
51	-18.793325909419153
52	-17.218962010041707
53	-15.071779788708135
54	-14.513552872566004
55	-13.04899959967968
56	-13.944030650891055
57	-13.774596669241483
58	-12.306225774829855
59	-13.357417562100672
60	-12.0
61	-11.887434208703791
62	-11.880624847486569
63	-12.799999999999999
64	-11.799999999999999
65	-11.4
66	-10.930662386291807
67	-12.31554944214035
68	-11.170820393249937
69	-10.632455532033676
70	-11.06332495807108
71	-10.632455532033676
72	-11.316515138991168
73	-10.930662386291807
74	-11.4
75	-10.774596669241483
76	-11.613274595042155
77	-11.36619037896906
78	-10.70415945787923
79	-11.179795897113271
80	-10.948331477354788
81	-11.095445115010332
82	-10.730662386291808
83	-10.52469507659596
84	-10.170820393249937
85	-11.526649916142159
86	-10.26332495807108
87	-10.799999999999999
88	-11.32065556157337
89	-10.6
90	-10.940312423743286
91	-10.894427190999917
92	-11.73622914957372
93	-10.6
94	-10.730662386291808
95	-11.277032961426901
96	-10.419803902718558
97	-11.799999999999999
98	-11.6
99	-10.071779788708135
100	-10.96619037896906
101	-10.671779788708136
102	-10.70415945787923
103	-10.481024967590665
104	-10.481024967590665
105	-10.340312423743285
106	-10.42195444572929
107	-10.779795897113273
108	-10.4
109	-11.52469507659596
110	-10.70415945787923
111	-10.944030650891055
112	-10.340312423743285
113	-11.183215956619923
114	-10.758257569495585
115	-10.889897948556635
116	-11.170820393249937
117	-11.481024967590665
118	-10.63851648071345
119	-11.70415945787923
120	-11.0
121	-11.619803902718557
122	-10.730662386291808
123	-10.948331477354788
124	-11.035781669160055
125	-10.84339811320566
126	-10.84339811320566
127	-10.930662386291807
128	-10.944030650891055
129	-10.4
130	-10.930662386291807
131	-10.54833147735479
132	-10.6
133	-10.96885775404495
134	-10.704987562112088
135	-11.6
136	-10.4
137	-11.200000000000001
138	-11.32065556157337
139	-11.413274595042155
140	-11.200000000000001
141	-11.799999999999999
142	-11.144030650891054
143	-10.6
144	-11.095445115010332
145	-10.619803902718557
146	-11.36619037896906
147	-10.200000000000001
148	-11.68062484748657
149	-10.779795897113273
150	-11.095445115010332
151	-10.12065556157337
152	-11.183215956619923
153	-10.516515138991167
154	-11.071779788708135
155	-11.0
156	-11.0
157	-10.880624847486569
158	-10.516515138991167
159	-10.306225774829855
160	-10.799999999999999
161	-10.713552872566003
162	-11.618033988749895
163	-10.671779788708136
164	-10.170820393249937
165	-10.730662386291808
166	-10.774596669241483
167	-10.304987562112089
168	-10.481024967590665
169	-10.089897948556635
170	-10.081024967590666
171	-10.619803902718557
172	-9.889897948556635
173	-10.779795897113273
174	-11.366190378969058
175	-10.340312423743285
176	-10.4
177	-10.235781669160055
178	-11.12664991614216
179	-10.200000000000001
180	-11.896662954709576
181	-10.340312423743285
182	-10.774596669241483
183	-11.857839583124694
184	-10.779795897113273
185	-11.756465996625053
186	-10.713552872566003
187	-10.04339811320566
188	-11.304987562112089
189	-10.4
190	-10.179795897113271
191	-10.6
192	-11.095445115010332
193	-10.200000000000001
194	-10.887434208703791
195	-10.26332495807108
196	-10.170820393249937
197	-10.877032961426902
198	-10.784523257866512
199	-10.6
200	-11.341640786499873
201	-10.52469507659596
202	-11.474772708486752
203	-11.035781669160055
204	-10.799999999999999
205	-10.618033988749895
206	-10.619803902718557
207	-11.252417469626002
208	-11.04536240470737
209	-10.84339811320566
210	-10.4
211	-10.779795897113273
212	-11.600000000000001
213	-11.200000000000001
214	-10.944030650891055
215	-10.68062484748657
216	-10.4
217	-11.4
218	-10.526649916142159
219	-9.730662386291808
220	-10.779795897113273
221	-11.645362404707372
222	-11.179795897113271
223	-10.930662386291807
224	-10.799999999999999
