E	T
1	3.72
2	3.86
3	4.18
4	4.2525
5	4.582
6	4.793333333333333
7	4.917142857142857
8	5.38125
9	5.725555555555555
10	6.345
11	7.2727272727272725
12	8.103333333333333
13	9.377692307692307
14	11.913571428571428
15	14.941333333333333
16	18.205625
17	21.63470588235294
18	24.386666666666667
19	26.979473684210525
20	29.6055
21	31.41761904761905
22	33.554545454545455
23	35.47391304347826
24	37.649166666666666
25	39.3436
26	41.34076923076923
27	43.33592592592593
28	45.17928571428571
29	46.933103448275865
30	48.501333333333335
31	50.13516129032258
32	51.576875
33	53.04424242424243
34	54.38294117647059
35	55.65828571428571
36	56.81666666666667
37	57.942972972972974
38	59.02421052631579
39	60.0748717948718
40	61.052
41	62.00195121951219
42	62.906666666666666
43	63.76930232558139
44	64.59272727272727
45	65.35822222222222
46	66.11130434782609
47	66.83234042553191
48	67.52333333333333
49	68.18612244897959
50	68.8224
51	69.43372549019608
52	70.02153846153846
53	70.58716981132075
54	71.13185185185185
55	71.65672727272727
56	72.16285714285715
57	72.65122807017543
58	73.12275862068965
59	73.57830508474576
60	74.01866666666666
61	74.44459016393442
62	74.85677419354839
63	75.25587301587302
64	75.6425
65	76.01723076923076
66	76.38060606060606
67	76.7331343283582
68	77.07529411764706
69	77.40753623188405
70	77.73028571428571
71	78.04394366197184
72	78.3488888888889
73	78.6454794520548
74	78.93405405405406
75	79.21493333333333
76	79.48842105263158
77	79.7548051948052
78	80.01435897435897
79	80.2673417721519
80	80.514
81	80.75456790123457
82	80.98926829268292
83	81.21831325301204
84	81.44190476190477
85	81.66023529411764
86	81.87348837209302
87	82.08183908045977
88	82.28545454545454
89	82.48449438202248
90	82.67911111111111
91	82.86945054945055
92	83.05565217391305
93	83.23784946236559
94	83.41617021276596
95	83.59073684210526
96	83.76166666666667
97	83.92907216494845
98	84.0930612244898
99	84.25373737373738
100	84.4112
101	84.56554455445544
102	84.71686274509804
103	84.8652427184466
104	85.01076923076923
105	85.1535238095238
106	85.29358490566038
107	85.43102803738317
108	85.56592592592592
109	85.6983486238532
110	85.82836363636363
111	85.95603603603604
112	86.08142857142857
113	86.2046017699115
114	86.32561403508772
115	86.44452173913044
116	86.56137931034483
117	86.67623931623932
118	86.78915254237288
119	86.90016806722689
120	87.00933333333333
121	87.11669421487603
122	87.22229508196722
123	87.32617886178862
124	87.42838709677419
125	87.52896
126	87.62793650793651
127	87.72535433070865
128	87.82125
129	87.91565891472868
130	88.00861538461538
131	88.10015267175572
132	88.19030303030303
133	88.2790977443609
134	88.3665671641791
135	88.45274074074074
136	88.53764705882352
137	88.62131386861314
138	88.70376811594203
139	88.78503597122302
140	88.86514285714286
141	88.9441134751773
142	89.02197183098592
143	89.09874125874126
144	89.17444444444445
145	89.24910344827586
146	89.3227397260274
147	89.39537414965986
148	89.46702702702703
149	89.53771812080537
150	89.60746666666667
151	89.67629139072848
152	89.74421052631578
153	89.81124183006536
154	89.8774025974026
155	89.94270967741936
156	90.00717948717949
157	90.07082802547771
158	90.13367088607595
159	90.19572327044025
160	90.257
161	90.3175155279503
162	90.37728395061728
163	90.4363190184049
164	90.49463414634147
165	90.55224242424242
166	90.60915662650602
167	90.6653892215569
168	90.72095238095238
169	90.77585798816568
170	90.83011764705883
171	90.88374269005848
172	90.93674418604651
173	90.98913294797688
174	91.04091954022988
175	91.09211428571429
176	91.14272727272727
177	91.19276836158193
178	91.24224719101123
179	91.29117318435755
180	91.33955555555555
181	91.38740331491712
182	91.43472527472528
183	91.48153005464481
184	91.52782608695652
185	91.57362162162163
186	91.6189247311828
187	91.66374331550801
188	91.70808510638298
189	91.75195767195767
190	91.79536842105263
191	91.83832460732984
192	91.88083333333333
193	91.92290155440415
194	91.96453608247423
195	92.00574358974359
196	92.0465306122449
197	92.08690355329949
198	92.12686868686869
199	92.16643216080402
200	92.2056
201	92.24437810945274
202	92.28277227722772
203	92.3207881773399
204	92.35843137254902
205	92.39570731707317
206	92.4326213592233
207	92.46917874396135
208	92.50538461538461
209	92.54124401913876
210	92.57676190476191
211	92.61194312796208
212	92.64679245283018
213	92.68131455399062
214	92.7155140186916
215	92.74939534883721
216	92.78296296296297
217	92.81622119815668
218	92.8491743119266
219	92.88182648401826
220	92.91418181818182
221	92.94624434389141
222	92.97801801801802
223	93.0095067264574
224	93.04071428571429
225	93.07164444444444
226	93.10230088495575
227	93.13268722466961
228	93.16280701754386
229	93.19266375545851
230	93.22226086956522
231	93.25160173160174
232	93.28068965517241
233	93.3095278969957
234	93.33811965811965
235	93.36646808510638
236	93.39457627118644
237	93.42244725738396
238	93.45008403361345
239	93.47748953974896
240	93.50466666666667
241	93.53161825726141
242	93.55834710743801
243	93.58485596707818
244	93.61114754098361
245	93.63722448979591
246	93.6630894308943
247	93.68874493927126
248	93.7141935483871
249	93.73943775100402
250	93.76448
251	93.78932270916334
252	93.81396825396826
253	93.83841897233202
254	93.86267716535433
255	93.88674509803921
256	93.910625
257	93.93431906614786
258	93.95782945736434
259	93.9811583011583
260	94.00430769230769
261	94.02727969348659
262	94.05007633587786
263	94.07269961977187
264	94.09515151515151
265	94.11743396226414
266	94.13954887218046
267	94.16149812734082
268	94.18328358208956
269	94.20490706319703
270	94.22637037037038
271	94.24767527675277
272	94.26882352941176
273	94.28981684981684
274	94.31065693430656
275	94.33134545454546
276	94.35188405797102
277	94.37227436823105
278	94.3925179856115
279	94.4126164874552
280	94.43257142857144
281	94.45238434163701
282	94.47205673758866
283	94.49159010600707
284	94.51098591549295
285	94.53024561403508
286	94.54937062937063
287	94.56836236933798
288	94.58722222222222
289	94.60595155709342
290	94.62455172413793
291	94.64302405498282
292	94.6613698630137
293	94.67959044368601
294	94.69768707482993
295	94.71566101694916
296	94.73351351351351
297	94.7512457912458
298	94.76885906040269
299	94.78635451505016
300	94.80373333333333
301	94.82099667774087
302	94.83814569536423
303	94.85518151815181
304	94.87210526315789
305	94.88891803278689
306	94.90562091503269
307	94.92221498371336
308	94.9387012987013
309	94.95508090614886
310	94.97135483870967
311	94.98752411575563
312	95.00358974358974
313	95.01955271565495
314	95.03541401273885
315	95.0511746031746
316	95.06683544303797
317	95.08239747634069
318	95.09786163522013
319	95.11322884012539
320	95.1285
321	95.14367601246106
322	95.15875776397516
323	95.17374613003096
324	95.18864197530864
325	95.20344615384616
326	95.21815950920245
327	95.23278287461774
328	95.24731707317073
329	95.26176291793313
330	95.27612121212121
331	95.29039274924472
332	95.30457831325302
333	95.31867867867868
334	95.33269461077845
335	95.34662686567164
336	95.36047619047619
337	95.37424332344213
338	95.38792899408284
339	95.40153392330383
340	95.4150588235294
341	95.42850439882697
342	95.44187134502924
343	95.45516034985422
344	95.46837209302326
345	95.48150724637681
346	95.49456647398844
347	95.50755043227666
348	95.52045977011494
349	95.53329512893983
350	95.54605714285714
351	95.55874643874644
352	95.57136363636364
353	95.58390934844192
354	95.59638418079096
355	95.60878873239437
356	95.62112359550562
357	95.6333893557423
358	95.64558659217877
359	95.65771587743733
360	95.66977777777778
361	95.68177285318559
362	95.69370165745856
363	95.70556473829201
364	95.71736263736264
365	95.72909589041096
366	95.74076502732241
367	95.75237057220708
368	95.76391304347825
369	95.77539295392954
370	95.7868108108108
371	95.79816711590297
372	95.8094623655914
373	95.82069705093834
374	95.83187165775401
375	95.84298666666666
376	95.85404255319149
377	95.86503978779841
378	95.87597883597884
379	95.88686015831135
380	95.89768421052632
381	95.90845144356955
382	95.91916230366492
383	95.92981723237598
384	95.94041666666666
385	95.95096103896104
386	95.96145077720207
387	95.97188630490956
388	95.98226804123712
389	95.99259640102828
390	96.0028717948718
391	96.01309462915602
392	96.02326530612245
393	96.03338422391857
394	96.04345177664975
395	96.05346835443038
396	96.06343434343434
397	96.07335012594459
