E	V
117	-9.918975032409334
118	-9.561483519286549
119	-9.29584054212077
120	-10.0
121	-9.580196097281442
122	-9.069337613708193
123	-9.45166852264521
124	-8.764218330839945
125	-8.95660188679434
126	-8.95660188679434
127	-9.269337613708192
128	-8.855969349108946
129	-9.200000000000001
130	-9.269337613708192
131	-9.051668522645212
132	-8.799999999999999
133	-8.431142245955048
134	-8.695012437887911
135	-8.799999999999999
136	-9.200000000000001
137	-8.6
138	-8.87934443842663
139	-8.386725404957845
140	-8.4
141	-9.4
142	-9.055969349108945
143	-8.200000000000001
144	-8.904554884989668
145	-8.580196097281442
146	-9.033809621030938
147	-8.6
148	-9.119375152513431
149	-8.820204102886729
150	-8.904554884989668
151	-7.6793444384266305
152	-8.816784043380077
153	-8.683484861008832
154	-9.328220211291864
155	-9.0
156	-9.0
157	-8.31937515251343
158	-8.683484861008832
159	-8.693774225170145
160	-8.6
161	-8.486447127433996
162	-9.381966011250105
163	-8.928220211291865
164	-8.829179606750063
165	-9.069337613708193
166	-9.225403330758517
167	-8.295012437887912
168	-8.918975032409334
169	-9.110102051443365
170	-8.518975032409335
171	-8.580196097281442
172	-8.910102051443365
173	-8.820204102886729
174	-9.03380962103094
175	-9.059687576256714
176	-8.200000000000001
177	-7.964218330839945
178	-8.473350083857841
179	-8.4
180	-8.903337045290424
181	-9.059687576256714
182	-9.225403330758517
183	-8.342160416875306
184	-8.820204102886729
185	-9.043534003374948
186	-8.486447127433996
187	-8.15660188679434
188	-9.295012437887912
189	-8.799999999999999
190	-8.220204102886727
191	-8.200000000000001
192	-8.904554884989668
193	-8.6
194	-8.512565791296208
195	-8.93667504192892
196	-8.829179606750063
197	-8.722967038573099
198	-8.215476742133488
199	-8.799999999999999
200	-8.658359213500127
201	-8.47530492340404
202	-8.725227291513248
203	-8.764218330839945
204	-8.6
205	-8.381966011250105
206	-8.580196097281442
207	-8.147582530373997
208	-8.354637595292628
209	-8.95660188679434
210	-7.8
211	-8.820204102886729
212	-8.2
213	-8.6
214	-8.855969349108946
215	-8.119375152513431
216	-8.799999999999999
217	-9.200000000000001
218	-7.873350083857839
219	-8.069337613708193
220	-8.820204102886729
221	-8.95463759529263
222	-9.220204102886727
223	-9.269337613708192
224	-9.4
225	-8.551000400320321
226	-8.695012437887911
227	-8.6
228	-8.147582530373997
229	-9.4
230	-8.295012437887912
231	-8.03114224595505
232	-8.683484861008832
233	-8.6
234	-8.103337045290424
235	-8.693774225170145
236	-9.105572809000083
237	-8.31937515251343
238	-9.200000000000001
239	-9.225403330758517
240	-9.105572809000083
241	-8.518975032409335
242	-8.585786437626904
243	-9.220204102886727
244	-8.486447127433996
245	-8.695012437887911
246	-8.820204102886729
247	-8.799999999999999
248	-8.473350083857841
249	-8.486447127433996
250	-8.551000400320321
251	-8.486447127433996
252	-9.36148351928655
253	-9.069337613708193
254	-8.659687576256715
255	-9.112565791296209
256	-8.918975032409334
257	-8.820204102886729
258	-9.105572809000083
259	-8.722967038573099
260	-8.95660188679434
261	-9.328220211291864
262	-8.431142245955048
263	-8.928220211291865
264	-8.473350083857841
265	-8.67934443842663
266	-8.95660188679434
267	-9.069337613708193
268	-8.459878053314327
269	-8.722967038573099
270	-8.623694538575979
271	-8.29584054212077
272	-9.367544467966324
273	-9.15660188679434
274	-8.380196097281443
275	-8.928220211291865
276	-9.367544467966324
277	-8.4
278	-8.483484861008833
279	-8.764218330839945
280	-9.0
281	-8.799999999999999
282	-9.0
283	-8.820204102886729
284	-9.552786404500042
285	-9.36148351928655
286	-9.552786404500042
287	-9.367544467966324
288	-8.722967038573099
289	-9.200000000000001
290	-8.4
291	-9.269337613708192
292	-9.225403330758517
293	-8.799999999999999
294	-9.295012437887912
295	-9.47530492340404
296	-9.0
297	-8.928220211291865
298	-8.764218330839945
299	-9.200000000000001
300	-8.904554884989668
301	-8.63380962103094
302	-8.57804555427071
303	-8.4
304	-7.95660188679434
305	-8.354637595292628
306	-8.683484861008832
307	-9.286447127433997
308	-8.6
309	-8.328220211291864
310	-8.934752415750147
311	-8.764218330839945
312	-8.4
313	-8.725227291513248
314	-8.122967038573098
315	-8.473350083857841
316	-8.6
317	-8.4
318	-8.95660188679434
319	-9.03114224595505
320	-8.6
321	-9.122967038573098
322	-8.799999999999999
323	-8.730306154330092
324	-8.486447127433996
325	-9.112565791296209
326	-8.4
327	-8.683484861008832
328	-8.820204102886729
329	-8.799999999999999
330	-8.93667504192892
331	-8.87335008385784
332	-8.928220211291865
333	-9.6
334	-9.200000000000001
335	-8.4
336	-8.200000000000001
337	-8.799999999999999
338	-8.269337613708192
339	-8.6
340	-8.6
341	-8.512565791296208
342	-9.139852949126455
343	-9.15660188679434
344	-9.4
345	-9.15660188679434
346	-8.659687576256715
347	-8.918975032409334
348	-8.829179606750063
349	-8.722967038573099
350	-8.68445055785965
351	-8.4
352	-8.918975032409334
353	-9.269337613708192
354	-9.105572809000083
355	-9.367544467966324
356	-9.367544467966324
357	-9.381966011250105
358	-9.200000000000001
359	-9.105572809000083
360	-8.6
361	-8.580196097281442
362	-9.059687576256714
363	-8.6
364	-8.683484861008832
365	-8.87335008385784
366	-8.068217893672365
367	-8.910102051443365
368	-9.0
369	-8.4
370	-8.764218330839945
371	-8.47530492340404
372	-8.799999999999999
373	-8.381966011250105
374	-8.286447127433997
375	-9.47530492340404
376	-9.4
377	-9.4
378	-8.269337613708192
379	-8.486447127433996
380	-9.069337613708193
381	-8.928220211291865
382	-8.855969349108946
383	-9.367544467966324
384	-8.213393125268148
385	-8.855969349108946
386	-8.119375152513431
387	-8.87335008385784
388	-8.516760302580867
389	-8.695012437887911
390	-9.079534946591476
391	-8.799999999999999
392	-8.122967038573098
393	-8.200000000000001
394	-9.220204102886727
395	-8.633809621030942
396	-8.67934443842663
397	-8.354637595292628
398	-8.4
399	-8.73667504192892
400	-8.910102051443365
401	-8.695012437887911
402	-8.87934443842663
403	-9.200000000000001
404	-8.764218330839945
405	-8.486447127433996
406	-8.486447127433996
407	-8.17171431429143
408	-9.6
409	-8.87934443842663
410	-8.381966011250105
411	-8.512565791296208
412	-9.561483519286549
413	-9.03114224595505
414	-8.286447127433997
415	-8.799999999999999
416	-8.518975032409335
417	-8.735088935932648
418	-9.269337613708192
419	-9.043534003374948
420	-8.722967038573099
421	-8.29584054212077
422	-8.658359213500127
423	-8.342160416875306
424	-7.964218330839945
425	-9.03114224595505
426	-8.820204102886729
427	-8.380196097281443
428	-8.95660188679434
429	-8.63380962103094
430	-8.6
431	-9.122967038573098
432	-9.15660188679434
433	-8.17171431429143
434	-8.45166852264521
435	-8.200000000000001
436	-8.381966011250105
437	-8.084450557859649
438	-8.059687576256714
