E	A
457	-9.97
458	-9.93
459	-9.77
460	-9.91
461	-9.83
462	-9.84
463	-9.71
464	-9.72
465	-9.75
466	-9.84
467	-9.75
468	-9.83
469	-9.76
470	-9.71
471	-9.58
472	-9.59
473	-9.95
474	-9.78
475	-9.99
476	-9.66
477	-9.54
478	-9.67
479	-9.66
480	-9.7
481	-9.63
482	-9.68
483	-9.69
484	-9.69
485	-9.82
486	-9.76
487	-9.67
488	-9.65
489	-9.53
490	-9.89
491	-9.69
492	-9.78
493	-9.88
494	-9.79
495	-9.74
496	-9.71
497	-9.7
498	-9.7
499	-9.73
500	-9.63
501	-9.73
502	-9.75
503	-9.75
504	-9.84
505	-9.76
506	-9.69
507	-9.89
508	-9.73
509	-9.84
510	-9.85
511	-9.56
512	-9.84
513	-9.75
514	-9.75
515	-9.75
516	-9.72
517	-9.79
518	-9.69
519	-9.77
520	-9.84
521	-9.59
522	-9.68
523	-9.78
524	-9.76
525	-9.55
526	-9.72
527	-9.93
528	-9.78
529	-9.57
530	-9.92
531	-9.97
532	-9.73
533	-9.64
534	-9.82
535	-9.66
536	-9.62
537	-9.86
538	-9.73
539	-9.87
540	-9.94
541	-9.9
542	-9.49
543	-9.76
544	-9.73
545	-9.83
546	-9.62
547	-9.76
548	-9.71
549	-9.69
550	-9.49
551	-9.63
552	-9.77
553	-9.74
554	-9.82
555	-9.92
556	-9.75
557	-9.9
558	-9.86
559	-9.79
560	-9.83
561	-9.93
562	-9.59
563	-9.76
564	-9.84
565	-9.83
566	-9.63
567	-9.91
568	-9.86
569	-9.87
570	-9.75
571	-9.82
572	-9.67
573	-9.74
574	-9.73
575	-9.8
576	-9.69
577	-9.64
578	-9.67
579	-9.74
580	-9.86
581	-9.66
582	-9.75
583	-9.82
584	-9.66
585	-9.93
586	-9.72
587	-9.6
588	-9.65
589	-9.72
590	-9.72
591	-9.82
592	-9.7
593	-9.85
594	-9.74
595	-9.87
596	-9.54
597	-9.87
598	-9.89
599	-9.64
600	-9.94
601	-9.96
602	-9.81
603	-9.54
604	-9.79
605	-9.73
606	-9.68
607	-9.69
608	-9.79
609	-9.56
610	-9.86
611	-9.65
612	-9.77
613	-9.6
614	-9.81
615	-9.72
616	-9.66
617	-9.77
618	-9.75
619	-9.75
620	-9.87
621	-9.93
622	-9.89
623	-9.93
624	-9.91
625	-9.97
626	-9.83
627	-9.85
628	-9.74
629	-9.9
630	-9.43
631	-9.63
632	-9.74
633	-9.7
634	-9.61
635	-9.64
636	-9.42
637	-9.73
638	-9.77
639	-9.79
640	-9.57
641	-9.79
642	-9.66
643	-9.96
644	-9.69
645	-9.72
646	-9.7
647	-9.7
648	-9.81
649	-9.82
650	-9.73
651	-9.55
652	-9.87
653	-9.81
654	-9.7
655	-9.91
656	-9.62
657	-9.63
658	-9.97
659	-9.79
660	-9.89
661	-9.81
662	-9.71
663	-9.82
664	-9.79
665	-9.77
666	-9.8
667	-9.91
668	-9.81
669	-9.58
670	-9.9
671	-9.83
672	-9.83
673	-9.63
674	-9.82
675	-9.97
676	-9.77
677	-9.87
678	-9.68
679	-9.67
680	-9.66
681	-9.72
682	-9.71
683	-9.78
684	-9.64
685	-9.49
686	-9.72
687	-9.8
688	-9.92
689	-9.6
690	-9.8
691	-9.76
692	-9.69
693	-9.76
694	-9.85
695	-9.78
696	-9.93
697	-9.81
698	-9.48
699	-9.56
700	-9.76
701	-9.85
702	-9.8
703	-9.86
704	-9.71
705	-10.03
706	-9.73
707	-9.77
708	-9.58
709	-9.73
710	-9.99
711	-9.72
712	-9.86
713	-9.65
714	-9.76
715	-9.79
716	-9.78
717	-9.69
718	-9.68
719	-9.55
720	-9.58
721	-9.73
722	-9.73
723	-9.77
724	-9.76
725	-9.94
726	-9.65
727	-9.73
728	-10.01
729	-9.69
730	-9.79
731	-9.87
732	-9.78
733	-9.66
734	-9.7
735	-9.83
736	-9.88
737	-9.77
738	-9.98
739	-9.89
740	-9.79
741	-9.94
742	-10.05
743	-9.74
744	-9.59
745	-9.7
746	-9.71
747	-9.67
748	-9.7
749	-9.7
750	-9.71
751	-9.63
752	-9.86
753	-9.74
