E	A
143	-9.4
144	-10.0
145	-9.6
146	-10.2
147	-9.4
148	-10.4
149	-9.8
150	-10.0
151	-8.9
152	-10.0
153	-9.6
154	-10.2
155	-10.0
156	-10.0
157	-9.6
158	-9.6
159	-9.5
160	-9.7
161	-9.6
162	-10.5
163	-9.8
164	-9.5
165	-9.9
166	-10.0
167	-9.3
168	-9.7
169	-9.6
170	-9.3
171	-9.6
172	-9.4
173	-9.8
174	-10.2
175	-9.7
176	-9.3
177	-9.1
178	-9.8
179	-9.3
180	-10.4
181	-9.7
182	-10.0
183	-10.1
184	-9.8
185	-10.4
186	-9.6
187	-9.1
188	-10.3
189	-9.6
190	-9.2
191	-9.4
192	-10.0
193	-9.4
194	-9.7
195	-9.6
196	-9.5
197	-9.8
198	-9.5
199	-9.7
200	-10.0
201	-9.5
202	-10.1
203	-9.9
204	-9.7
205	-9.5
206	-9.6
207	-9.7
208	-9.7
209	-9.9
210	-9.1
211	-9.8
212	-9.9
213	-9.9
214	-9.9
215	-9.4
216	-9.6
217	-10.3
218	-9.2
219	-8.9
220	-9.8
221	-10.3
222	-10.2
223	-10.1
224	-10.1
225	-9.8
226	-9.7
227	-9.7
228	-9.7
229	-10.3
230	-9.3
231	-9.3
232	-9.6
233	-9.4
234	-9.6
235	-9.5
236	-10.0
237	-9.6
238	-10.3
239	-10.0
240	-10.0
241	-9.3
242	-10.0
243	-10.2
244	-9.6
245	-9.7
246	-9.8
247	-9.6
248	-9.8
249	-9.6
250	-9.8
251	-9.6
252	-9.9
253	-9.9
254	-9.3
255	-10.3
256	-9.7
257	-9.8
258	-10.0
259	-9.8
260	-9.9
261	-10.2
262	-9.7
263	-9.8
264	-9.8
265	-9.9
266	-9.9
267	-9.9
268	-10.1
269	-9.8
270	-10.3
271	-9.5
272	-10.0
273	-10.1
274	-9.4
275	-9.8
276	-10.0
277	-9.3
278	-9.4
279	-9.9
280	-10.0
281	-9.6
282	-10.0
283	-9.8
284	-10.0
285	-9.9
286	-10.0
287	-10.0
288	-9.8
289	-9.9
290	-9.6
291	-10.1
292	-10.0
293	-9.7
294	-10.3
295	-10.5
296	-9.5
297	-9.8
298	-9.9
299	-10.4
300	-10.0
301	-9.8
302	-9.5
303	-9.3
304	-8.9
305	-9.7
306	-9.6
307	-10.4
308	-9.9
309	-9.2
310	-10.5
311	-9.9
312	-9.6
313	-10.1
314	-9.2
315	-9.8
316	-9.9
317	-9.6
318	-9.9
319	-10.3
320	-9.4
321	-10.2
322	-9.6
323	-10.2
324	-9.6
325	-10.3
326	-10.1
327	-9.6
328	-9.8
329	-9.6
330	-9.6
331	-10.2
332	-9.8
333	-10.7
334	-10.3
335	-9.6
336	-9.4
337	-9.7
338	-9.1
339	-9.7
340	-9.2
341	-9.7
342	-10.5
343	-10.1
344	-10.3
345	-10.1
346	-9.3
347	-9.7
348	-9.5
349	-9.8
350	-10.3
351	-9.3
352	-9.7
353	-10.1
354	-10.0
355	-10.0
356	-10.0
357	-10.5
358	-9.9
359	-10.0
360	-9.7
361	-9.6
362	-9.7
363	-9.9
364	-9.6
365	-10.2
366	-9.5
367	-9.4
368	-10.0
369	-9.3
370	-9.9
371	-9.5
372	-10.2
373	-9.5
374	-9.4
375	-10.5
376	-10.1
377	-10.1
378	-9.1
379	-9.6
380	-9.9
381	-9.8
382	-9.9
383	-10.0
384	-9.7
385	-9.9
386	-9.4
387	-10.2
388	-10.0
389	-9.7
390	-10.8
391	-9.6
392	-9.2
393	-9.4
394	-10.2
395	-9.8
396	-9.9
397	-9.7
398	-9.3
399	-9.4
400	-9.4
401	-9.7
402	-10.1
403	-10.3
404	-9.9
405	-9.6
406	-9.6
407	-9.6
408	-10.2
409	-10.1
410	-9.5
411	-9.7
412	-10.1
413	-10.3
414	-9.4
415	-9.7
416	-9.3
417	-10.0
418	-10.1
419	-10.4
420	-9.8
421	-9.5
422	-10.0
423	-10.1
424	-9.1
425	-10.3
426	-9.8
427	-9.4
428	-9.9
429	-9.8
430	-9.4
431	-10.2
432	-10.1
433	-9.6
434	-9.2
435	-9.4
436	-9.5
437	-9.7
438	-8.7
439	-9.9
440	-9.7
441	-10.1
442	-10.1
443	-8.9
444	-9.8
445	-10.1
446	-10.0
447	-9.7
448	-8.8
449	-10.0
450	-10.1
451	-9.0
452	-9.6
453	-9.7
454	-9.3
455	-10.3
456	-9.9
457	-9.5
458	-9.9
459	-8.8
460	-9.4
461	-10.0
462	-9.1
463	-9.8
464	-10.1
465	-9.8
466	-9.7
467	-10.4
468	-10.0
469	-9.7
470	-9.8
471	-9.6
472	-9.7
473	-9.6
474	-9.8
475	-9.9
476	-9.4
477	-9.9
478	-10.1
479	-10.1
480	-9.9
481	-9.5
482	-10.1
483	-9.9
484	-9.6
485	-10.0
486	-10.6
487	-9.7
488	-10.0
489	-9.9
490	-10.5
491	-9.8
492	-10.0
493	-9.2
494	-10.4
495	-9.7
496	-10.1
497	-9.8
498	-9.5
499	-10.0
500	-10.1
501	-9.2
502	-9.8
503	-10.2
504	-9.4
505	-9.7
506	-9.5
507	-9.8
508	-10.5
509	-9.3
510	-10.0
511	-9.6
512	-9.4
513	-9.1
514	-10.3
515	-10.0
516	-9.6
517	-9.9
518	-9.9
519	-9.6
520	-10.3
521	-10.1
522	-9.1
523	-9.6
524	-9.9
525	-10.1
526	-9.6
527	-9.5
528	-9.6
529	-10.8
530	-9.8
531	-9.8
532	-9.5
533	-9.7
534	-9.9
535	-9.6
536	-9.4
537	-9.7
538	-10.2
539	-10.0
540	-9.7
541	-9.7
542	-9.6
543	-9.5
544	-9.6
545	-9.8
546	-9.8
547	-10.7
548	-9.5
549	-9.9
550	-9.8
551	-10.0
552	-9.3
553	-9.1
554	-10.0
555	-9.8
556	-9.5
557	-10.3
558	-9.7
559	-9.6
560	-9.1
561	-10.8
562	-10.0
563	-10.2
564	-10.5
565	-9.3
566	-9.7
567	-10.0
568	-9.0
569	-9.5
570	-10.2
571	-10.0
572	-9.7
573	-9.4
574	-9.3
575	-9.5
576	-10.0
577	-10.0
578	-9.0
579	-9.9
580	-10.4
581	-10.3
582	-9.4
583	-10.1
584	-9.7
585	-9.9
586	-10.5
587	-9.8
588	-9.6
589	-9.6
590	-10.1
591	-9.7
592	-9.6
593	-9.8
594	-10.0
595	-9.5
596	-9.8
597	-9.8
598	-9.6
599	-9.7
600	-9.8
601	-9.4
602	-9.5
603	-10.0
604	-9.5
605	-10.1
606	-10.3
607	-10.0
608	-10.1
609	-10.1
610	-10.2
611	-9.5
612	-9.7
613	-10.0
614	-9.5
615	-9.3
616	-10.0
617	-9.5
618	-9.7
619	-10.1
620	-9.3
621	-9.3
622	-9.3
623	-8.9
624	-9.7
625	-9.2
626	-9.4
627	-9.0
628	-9.6
629	-9.7
630	-9.7
631	-9.9
632	-10.1
633	-9.1
634	-9.4
635	-10.1
636	-10.1
637	-9.8
638	-10.1
639	-10.2
640	-9.4
641	-10.4
642	-9.4
643	-10.0
644	-9.5
645	-10.4
646	-9.7
647	-10.6
648	-9.7
649	-9.9
650	-9.6
651	-10.3
652	-9.9
653	-9.7
654	-9.9
655	-9.6
656	-10.1
657	-10.0
658	-9.3
659	-9.2
660	-9.6
661	-9.6
662	-9.9
663	-9.7
664	-9.8
665	-9.3
666	-9.6
667	-9.4
668	-10.3
669	-9.9
670	-10.1
671	-9.9
672	-10.3
673	-9.6
674	-9.6
675	-9.6
676	-9.8
677	-9.6
678	-9.9
679	-10.0
680	-9.8
681	-9.7
682	-9.3
683	-9.8
684	-10.4
685	-10.4
686	-10.0
687	-9.4
688	-10.0
689	-9.5
690	-9.2
691	-10.0
692	-9.6
693	-9.5
694	-9.6
695	-9.6
696	-10.0
697	-10.0
698	-9.7
699	-9.8
700	-10.1
701	-9.5
702	-9.3
703	-9.5
704	-9.5
705	-10.6
706	-10.0
707	-9.5
708	-9.7
709	-9.9
710	-9.6
711	-9.4
712	-10.0
713	-10.1
714	-9.0
715	-9.6
716	-9.6
717	-9.8
718	-9.8
719	-10.2
720	-10.2
721	-9.7
722	-9.7
723	-10.0
724	-10.0
725	-9.9
726	-10.2
727	-9.8
728	-10.1
729	-9.7
730	-9.5
731	-9.5
732	-9.6
733	-8.9
734	-10.0
735	-10.3
736	-9.6
737	-9.3
738	-9.9
739	-9.9
740	-9.0
741	-10.0
742	-9.6
743	-9.6
744	-10.1
745	-10.1
746	-10.0
747	-9.7
748	-10.0
749	-9.5
750	-9.5
751	-10.1
752	-9.7
753	-9.7
754	-9.8
755	-10.0
756	-9.8
757	-9.5
758	-9.4
759	-9.4
760	-9.6
761	-10.1
762	-9.3
763	-10.1
764	-9.1
765	-10.4
766	-9.5
767	-9.5
768	-9.9
769	-10.2
770	-9.3
771	-9.2
772	-9.4
773	-9.7
774	-9.9
775	-9.9
776	-10.2
777	-9.8
778	-9.1
779	-10.2
780	-9.6
781	-9.4
782	-9.8
783	-9.8
784	-9.7
785	-9.7
786	-9.2
787	-9.4
788	-9.7
789	-8.9
790	-9.9
791	-9.3
792	-9.8
793	-9.9
794	-9.4
795	-9.6
796	-9.8
797	-9.8
798	-9.7
799	-9.8
800	-9.5
801	-9.8
802	-9.9
803	-9.0
804	-10.3
805	-9.8
806	-9.7
807	-10.1
808	-9.4
809	-9.9
810	-9.8
811	-9.6
812	-10.0
813	-9.4
814	-9.5
815	-10.4
816	-9.4
817	-10.0
818	-9.2
819	-9.4
820	-10.4
821	-9.1
822	-10.0
823	-9.8
824	-9.5
825	-9.5
826	-9.6
827	-9.7
828	-10.3
829	-8.8
830	-9.1
831	-9.2
832	-9.7
833	-10.2
834	-9.4
835	-9.7
836	-9.6
837	-10.6
838	-9.6
839	-9.6
840	-9.7
841	-9.7
842	-10.0
843	-10.1
844	-9.8
845	-9.7
846	-10.2
847	-9.3
848	-10.2
849	-10.0
850	-9.1
851	-9.4
852	-10.0
853	-9.8
854	-9.9
855	-10.0
856	-9.9
857	-9.9
858	-9.3
859	-9.6
860	-9.3
861	-9.9
862	-9.4
863	-9.7
864	-9.3
865	-9.9
866	-9.5
867	-10.1
868	-9.1
869	-9.0
870	-9.6
871	-9.2
872	-9.8
873	-9.8
874	-9.2
875	-10.2
876	-9.8
877	-9.4
878	-9.5
879	-8.8
880	-9.8
881	-9.5
882	-9.9
883	-9.8
884	-9.4
885	-9.8
886	-9.7
887	-9.8
888	-9.7
889	-10.0
890	-9.6
891	-9.1
892	-10.5
893	-9.9
894	-10.5
895	-9.7
896	-10.3
897	-9.7
898	-10.1
899	-9.7
900	-9.9
901	-9.6
902	-9.8
903	-10.2
904	-10.7
905	-10.0
906	-9.6
907	-9.8
908	-9.2
909	-10.0
910	-10.1
911	-9.5
912	-9.4
913	-10.5
914	-9.5
915	-10.3
916	-9.9
917	-9.5
918	-9.3
919	-10.1
920	-10.1
921	-9.6
922	-9.9
923	-10.4
924	-9.7
925	-9.7
926	-9.6
927	-9.4
928	-9.9
929	-9.2
930	-10.3
931	-10.4
932	-9.3
933	-10.3
934	-9.7
935	-9.3
936	-9.4
937	-10.3
938	-10.0
939	-9.7
940	-9.8
941	-9.8
942	-10.3
943	-9.2
944	-9.6
945	-9.4
946	-10.4
947	-9.0
948	-9.9
949	-9.6
950	-10.4
951	-10.0
952	-9.5
953	-10.4
954	-9.4
955	-10.0
956	-9.7
957	-10.3
958	-10.1
959	-10.1
960	-9.0
961	-10.2
962	-9.9
963	-9.7
964	-10.1
965	-9.9
966	-9.7
967	-10.4
968	-10.0
969	-9.9
970	-9.9
971	-10.4
972	-9.8
973	-9.6
974	-9.6
975	-9.8
976	-9.6
977	-9.0
978	-9.6
979	-9.8
980	-10.1
981	-9.6
982	-9.8
983	-9.6
984	-9.9
985	-9.7
986	-9.5
987	-9.6
988	-9.4
989	-9.3
990	-9.6
991	-10.2
992	-9.3
993	-10.1
994	-10.2
995	-9.9
996	-10.1
997	-10.7
998	-9.2
999	-9.9
1000	-10.2
