E	A
1	-6.7
2	-8.3
3	-7.5
4	-7.2
5	-8.7
6	-6.2
7	-8.0
8	-9.9
9	-7.4
10	-9.0
11	-7.6
12	-6.9
13	-9.0
14	-8.9
15	-10.6
16	-8.2
17	-8.3
18	-7.9
19	-8.3
20	-11.8
21	-8.6
22	-8.7
23	-7.2
24	-8.8
25	-9.9
26	-15.7
27	-15.4
28	-13.3
29	-14.2
30	-16.0
31	-14.5
32	-20.4
33	-29.5
34	-19.5
35	-33.1
36	-29.0
37	-29.3
38	-25.9
39	-29.6
40	-19.3
41	-25.0
42	-19.2
43	-21.9
44	-20.3
45	-19.9
46	-20.7
47	-18.2
48	-20.7
49	-17.1
50	-16.4
51	-15.8
52	-15.1
53	-14.2
54	-13.4
55	-11.8
56	-12.9
57	-13.0
58	-11.5
59	-11.5
60	-11.0
61	-10.7
62	-10.6
63	-11.1
64	-10.6
65	-10.3
66	-10.1
67	-10.7
68	-10.5
69	-10.0
70	-10.4
71	-10.0
72	-10.4
73	-10.1
74	-10.3
75	-10.0
76	-10.1
77	-10.2
78	-9.5
79	-10.2
80	-10.2
81	-10.0
82	-9.9
83	-9.5
84	-9.5
85	-10.2
86	-9.6
87	-9.7
88	-10.1
89	-9.7
90	-10.3
91	-10.0
92	-10.2
93	-9.9
94	-9.9
95	-10.2
96	-9.4
97	-10.7
98	-10.2
99	-9.2
100	-9.8
101	-9.8
102	-9.5
103	-9.7
104	-9.7
105	-9.7
106	-9.5
107	-9.8
108	-9.8
109	-10.5
110	-9.5
111	-9.9
112	-9.7
113	-10.0
114	-10.3
115	-10.4
116	-10.5
117	-10.7
118	-10.1
119	-10.5
120	-10.5
121	-10.6
122	-9.9
123	-10.2
124	-9.9
125	-9.9
126	-9.9
127	-10.1
128	-9.9
129	-9.8
130	-10.1
131	-9.8
132	-9.7
133	-9.7
134	-9.7
135	-10.2
136	-9.8
137	-9.9
138	-10.1
139	-9.9
140	-9.8
141	-10.6
142	-10.1
