E	V
191	-10.80694533450937
192	-11.103588719177603
193	-10.824796630928718
194	-10.80905365064094
195	-10.864120651482276
196	-10.836605286406618
197	-10.86976849370594
198	-11.043384975398961
199	-10.69375518978556
200	-11.16619037896906
201	-10.827921898938975
202	-11.085396620919502
203	-11.14856509342757
204	-11.10415945787923
205	-10.844325537385968
206	-10.819391143171027
207	-10.842947259696835
208	-10.874847406908614
209	-10.961404143958571
210	-11.3114877048604
211	-11.131507640956357
212	-11.056980508997654
213	-10.833222552343814
214	-10.636528688115744
215	-10.956254770982438
216	-11.055193862211201
217	-10.817872233310597
218	-11.007145549171256
219	-10.912252019838789
220	-10.712960723061483
221	-10.845073837362044
222	-10.913552872566004
223	-11.14951118836962
224	-10.60237825899246
225	-10.870129303138233
226	-11.080381623802776
227	-11.002378258992458
228	-11.102434484573472
229	-10.814942394784167
230	-10.695445115010331
231	-10.85120470923021
232	-10.843766891757776
233	-10.975706540422207
234	-10.969631091765047
235	-11.061895003862226
236	-11.055193862211201
237	-10.89541482039321
238	-11.072328211623152
239	-11.210614599290047
240	-10.88072703246536
241	-10.77583302491977
242	-11.184523257866513
243	-11.10199840255489
244	-10.96042009391643
245	-10.77503393613047
246	-10.860467187726929
247	-10.942341608152836
248	-10.87709336753537
249	-11.014348896628075
250	-10.884680571791021
251	-11.19223374405995
252	-10.842249971903799
253	-10.989444312483498
254	-10.912435565298214
255	-10.87277389167927
256	-10.904536101718726
257	-10.960952021291849
258	-10.768548947222918
259	-11.055289663560096
260	-11.057365376649035
261	-10.891204709230209
262	-11.029254141971844
263	-10.808134782255804
264	-10.801793497165777
265	-10.801427661510095
266	-11.242956503634504
267	-10.793228266506622
268	-11.006423195997112
269	-11.118436545159751
270	-10.945155591614627
271	-11.001310771261762
272	-10.826482490548454
273	-10.93447169995261
274	-10.77583302491977
275	-10.878274578845621
276	-10.832065257073662
277	-10.892431013351365
278	-10.882796090937735
279	-10.985920709430827
280	-11.317435298473587
281	-10.620925529349732
282	-10.994432965974875
283	-10.77238052947636
284	-11.10415945787923
285	-10.88745563592143
286	-10.87898261225516
287	-10.694987437106619
288	-10.801427661510095
289	-10.850343079557067
290	-10.944989959798873
291	-10.81081867662439
292	-11.266813987323648
293	-11.171421942308971
294	-10.80568582773968
295	-10.792987088082494
296	-10.731408189546457
297	-10.810825790465264
298	-10.855896744425568
299	-10.784455423749648
300	-10.96619037896906
301	-10.888820098033655
302	-10.853712060089697
303	-11.132949331277565
304	-11.03134703716994
305	-10.713552872566003
306	-10.895706540422209
307	-11.134348896628076
308	-11.0186229834061
309	-11.069631091765046
310	-10.891062547634851
311	-11.043384975398961
312	-10.973572086292895
313	-11.014822162499508
314	-10.740181803158006
315	-10.869759587597056
316	-10.982134804534018
317	-10.731370849898475
318	-10.93494635069603
319	-10.741019877474457
320	-10.898222823197482
321	-11.287738847106516
322	-10.783449137930697
323	-11.030675470153186
324	-10.288381068166528
325	-11.015905755287056
326	-11.07671689394041
327	-10.9038918869559
328	-11.049488085804667
329	-10.787354879405301
330	-10.895706540422209
331	-11.112435565298215
332	-10.5336157786453
333	-11.055289663560096
334	-11.08112987972687
335	-10.99154761278525
336	-10.67642285895623
337	-10.908902980942626
338	-11.009086593777857
339	-11.087344760741077
340	-10.943499041328964
341	-10.91678424721745
342	-10.775289663560095
343	-10.86183193500589
344	-10.97238052947636
345	-11.032727907124125
346	-11.054248738932843
347	-10.9038918869559
348	-11.103588719177603
349	-11.041359260963851
350	-11.09534580253779
351	-10.928444361339647
352	-10.827921898938975
353	-10.902211873136347
354	-10.836254770982437
355	-10.73157545852722
356	-10.826942766958464
357	-10.932886087385139
358	-10.901998402554891
359	-10.996661904752187
360	-10.868184154316312
361	-10.928974979234603
362	-11.171191761424886
363	-10.961638244326036
364	-10.903499041328965
365	-10.969297316626477
366	-10.757451593465516
367	-11.096101068064794
368	-10.74044239127874
369	-10.681958903283297
370	-11.083443165779919
371	-11.090619676033725
372	-10.793459662602928
373	-10.824744871391589
374	-11.230614599290046
375	-10.921214264281428
376	-10.868007092176287
377	-10.774484332329516
378	-11.033800713110026
379	-11.001249390243757
380	-10.967242540855537
381	-10.810657705010579
382	-11.054248738932843
383	-10.788456831135447
384	-10.853572086292894
385	-10.84397530837316
386	-10.827867588182539
387	-10.826929515152264
388	-11.242956503634504
389	-10.891260939267367
390	-10.991637528781299
391	-10.891062547634851
392	-10.645981171362699
393	-10.947307902174197
394	-10.588819441731559
395	-10.663255111006704
396	-10.86562199688682
397	-10.791771301132862
398	-10.801856881412133
399	-11.302246106591156
400	-11.103588719177603
401	-10.843713310465038
402	-10.903328828820603
403	-11.045985074534507
404	-11.11850663054017
405	-10.740535586226514
